,Highest_1,Lowest_1,Median_1,Mean_(rounded)_1,most_uncommon_1,Highest_2,Lowest_2,Median_2,Mean_(rounded)_2,most_common_2
0,2,1,1,9,2,0,2,3,9,0
1,1,1,7,9,5,0,7,3,9,2
2,4,3,3,9,8,0,6,2,9,8
3,2,5,8,8,5,1,9,1,8,0
4,4,6,8,9,5,1,9,1,9,3
5,0,1,2,9,1,0,3,4,9,4
6,1,4,8,9,9,0,5,1,8,2
7,2,1,9,9,4,0,7,2,9,6
8,0,4,5,9,9,0,7,4,9,4
9,1,3,8,9,1,0,5,4,9,4
10,1,2,8,9,3,1,8,4,9,4
11,2,1,8,8,9,0,7,2,8,5
12,1,1,9,9,8,0,4,8,8,9
13,3,6,8,9,3,0,7,8,9,2
14,4,9,7,8,3,0,4,2,9,2
15,3,8,9,9,4,0,3,4,9,7
16,3,3,8,9,4,0,6,4,8,4
17,2,3,8,9,6,1,3,4,9,4
18,0,9,8,9,4,1,2,3,8,6
19,3,4,8,9,9,1,8,4,8,4
20,3,6,1,9,0,0,8,2,9,2
21,0,9,8,9,1,1,7,4,9,4
22,1,7,9,9,6,1,5,4,9,3
23,0,6,9,8,4,0,2,1,9,3
24,2,9,1,9,4,1,7,1,9,5
25,1,6,8,9,5,1,8,2,9,5
26,3,9,8,9,9,0,5,4,9,9
27,0,6,2,9,1,0,7,4,9,3
28,0,6,9,9,7,0,3,4,9,4
29,0,9,7,9,9,1,2,4,9,7
30,3,6,7,9,2,1,7,4,9,8
31,4,8,8,9,6,0,7,3,9,1
32,1,6,9,9,3,1,6,1,9,1
33,4,6,7,9,1,1,6,8,9,8
34,3,6,8,9,5,0,3,4,9,5
35,0,4,8,9,5,0,7,8,9,3
36,4,9,9,9,3,1,2,4,9,0
37,0,4,8,8,0,0,4,3,8,3
38,3,5,9,9,9,1,5,5,9,2
39,4,7,6,9,3,1,7,4,9,9
40,4,7,9,9,4,1,7,5,9,4
41,4,3,9,8,2,1,4,1,9,2
42,3,5,6,9,2,0,2,4,9,2
43,2,7,8,9,0,1,3,8,9,7
44,4,9,7,9,8,0,9,4,9,1
45,3,7,8,9,0,0,8,4,9,3
46,2,4,9,9,5,0,5,8,9,7
47,0,8,9,9,7,1,6,4,9,4
48,2,1,6,9,3,1,5,4,9,6
49,3,2,5,9,5,0,5,4,9,8
50,1,4,7,9,4,0,4,4,9,3
51,4,6,5,9,5,0,3,8,9,7
